id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,cluster,hdbscan_cluster
2vtIfsm5Qz21bqsHyARoLp,Borderline,45,320893,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.787,0.895,7,-4.864,1,0.0368,0.252,0.00064,0.0729,0.452,119.356,4,1983,3,-1
48YZhmKL3aZKhQUfpvkelu,Burning Up,43,225333,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.869,0.738,6,-4.566,0,0.11,0.0276,0.00102,0.262,0.988,138.329,4,1983,3,3
5I0WMWBGRuHiAwNa6yjm9r,Lucky Star,43,337840,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.803,0.814,4,-4.579,0,0.0381,0.198,1.18e-05,0.223,0.933,117.08,4,1983,3,3
4sFGkok98Cu0gu52fD48Xr,Everybody - Original Version,39,362387,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.921,0.782,9,-4.998,0,0.039,0.0205,0.000894,0.0437,0.616,119.982,4,1983,3,-1
6A8OnjnpShshNpcqWtZRjr,Papa Don't Preach,66,345280,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1986-06-30,0.807,0.906,5,-8.973,0,0.0371,0.311,0.000791,0.0248,0.971,121.54,4,1986,3,-1
6poribUG9PSY1eudyCjJTS,Open Your Heart,52,253067,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1986-06-30,0.619,0.876,7,-9.214,0,0.0417,0.0434,1.53e-05,0.0925,0.89,114.008,4,1986,3,-1
1jaVdF0FSPTWi8E4MWiLPR,La Isla Bonita - Extended Remix,50,326773,0,"['Madonna', 'Chris Lord-Alge']","['6tbjWDEIzxoDsBA1FuhfPW', '1zRwW2z5JOtEgK5OESwlgx']",1986-06-30,0.73,0.737,4,-6.515,1,0.0333,0.202,5.83e-05,0.153,0.89,99.998,4,1986,3,-1
0e1VL3FZmkgjKQ7wNmIHNc,Material Girl,46,233440,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.734,0.853,0,-7.697,1,0.0353,0.113,0.00011,0.0464,0.977,134.523,4,1990,3,7
2fzykVsO2Di5jnofUNX3YE,Music,60,225973,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2000-09-19,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,4,2000,3,7
7mS8RbJji2UZAaguRGsOCH,Me Against the Music (feat. Madonna) - LP Version / Video Mix,62,223773,0,"['Britney Spears', 'Madonna']","['26dSoYclwsYLMAKD3tpOr4', '6tbjWDEIzxoDsBA1FuhfPW']",2003-11-13,0.804,0.836,6,-6.635,0,0.089,0.32,0.0,0.213,0.85,120.046,4,2003,3,-1
59qPP8coY8EWIQ9nQDThui,Give It 2 Me,59,287907,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2008-04-19,0.837,0.954,8,-3.512,0,0.0414,0.0933,0.000405,0.143,0.972,127.019,4,2008,3,-1
22sLuJYcvZOSoLLRYev1s5,Material Girl,74,240280,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.742,0.883,0,-3.419,1,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,4,2009,3,4
1oHClQEgDmmbcEx12Kc5nZ,4 Minutes (feat. Justin Timberlake & Timbaland),71,189693,0,"['Madonna', 'Justin Timberlake', 'Timbaland']","['6tbjWDEIzxoDsBA1FuhfPW', '31TPClRtHm23RisEBtV3X7', '5Y5TRrQiqgUO4S36tzjIRZ']",2009-09-18,0.753,0.931,2,-4.922,1,0.0652,0.00994,0.00696,0.234,0.767,113.029,4,2009,3,2
2Iib2MV3ECFJAourgP9dlY,La Isla Bonita,66,242947,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.708,0.832,1,-4.736,0,0.0362,0.392,1.33e-06,0.0561,0.968,99.953,4,2009,3,4
2m0M7YqCy4lXfedh18qd8N,Into the Groove,64,285093,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.729,0.856,10,-4.164,0,0.035,0.0658,0.00832,0.0691,0.804,116.467,4,2009,3,2
4k6ktr10Hczmh55NY3LfJy,Holiday,63,368280,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.854,0.796,11,-5.567,0,0.0399,0.0542,0.00184,0.151,0.946,115.625,4,2009,3,3
6ioBgySxoeQKALvAeLEmId,Express Yourself,58,239093,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.667,0.93,7,-4.585,1,0.0608,0.0108,0.0,0.176,0.893,115.57,4,2009,3,2
4FMNpPI7mkhdeFCCk6fZiE,Borderline,58,238360,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.807,0.764,2,-5.186,1,0.0312,0.082,3.87e-05,0.115,0.371,119.867,4,2009,3,-1
0NjXS4VFF7OVLRhSAXMUJV,Burning Up,35,225333,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.869,0.738,6,-4.566,0,0.11,0.0276,0.00102,0.262,0.988,138.329,4,1983,3,3
4QGVOJqm5WOt7XhGlFLqnj,Physical Attraction,34,399600,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.907,0.641,0,-7.694,0,0.0746,0.0436,0.0138,0.184,0.932,119.2,4,1983,3,-1
7DUpuAzGUyJaJB3p9BC3Ms,Die Another Day,55,276360,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2003-04-22,0.792,0.797,0,-5.166,0,0.0901,0.062,0.00325,0.0896,0.491,123.993,4,2003,3,-1
5HktkLHDbjA6LTyRTBEzHy,Celebration,55,215133,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.637,0.891,11,-4.139,0,0.0345,0.0742,0.000622,0.0686,0.933,126.002,4,2009,3,2
43f5cRyu4Wgnuf2t3AdZzL,Material Girl,36,240280,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.742,0.883,0,-3.419,1,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,4,2009,3,4
1AL0StSc00aZBBd8Ggktgj,4 Minutes (feat. Justin Timberlake & Timbaland),34,189693,0,"['Madonna', 'Justin Timberlake', 'Timbaland']","['6tbjWDEIzxoDsBA1FuhfPW', '31TPClRtHm23RisEBtV3X7', '5Y5TRrQiqgUO4S36tzjIRZ']",2009-09-18,0.753,0.931,2,-4.922,1,0.0652,0.00994,0.00696,0.234,0.767,113.029,4,2009,3,2
6gTREVvbhMEIluqtLRMWuI,Lucky Star - New Mix,33,435427,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.801,0.722,4,-4.509,0,0.0444,0.068,0.000207,0.284,0.907,117.256,4,1983,3,3
1iaIEmZHrjGzWUmJ9BaFr6,Like a Virgin,53,188280,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.775,0.8,3,-3.338,0,0.036,0.365,0.000216,0.0976,0.96,119.725,3,2009,3,4
4e3AL3lOlUtLe4nseczBzK,Think of Me,34,294893,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.832,0.724,9,-5.971,0,0.0403,0.0297,0.188,0.0334,0.89,118.411,4,1983,3,3
7GQ8y27RpoUMAMlAzJD6fX,Physical Attraction,25,399600,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1987-11-13,0.907,0.641,0,-7.694,0,0.0746,0.0436,0.0138,0.184,0.932,119.2,4,1987,3,-1
4yZglxlGxe7BexRBM3AKDq,Now I'm Following You (Pt. 2),25,198640,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-03-22,0.686,0.817,0,-8.906,1,0.0679,0.058,0.0241,0.157,0.782,98.978,4,1990,3,7
6aiuOkaPgVROiE98FhCqKI,Hanky Panky - Bare Bones Single Mix,19,234400,0,"['Madonna', 'Kevin Gilbert']","['6tbjWDEIzxoDsBA1FuhfPW', '2MDHCWiC4L1AvrJifijxzi']",1990-06-12,0.638,0.844,2,-7.975,1,0.0652,0.21,0.0,0.0721,0.819,170.281,4,1990,3,-1
5lAmdpu8irDgLp4ehA8B2d,"Hanky Panky - Bare Bottom 12"" Mix",17,395547,0,"['Madonna', 'Kevin Gilbert']","['6tbjWDEIzxoDsBA1FuhfPW', '2MDHCWiC4L1AvrJifijxzi']",1990-06-12,0.672,0.837,2,-8.43,1,0.0677,0.0487,0.0,0.0545,0.929,170.152,4,1990,3,7
1dDNz8h95Gsu0W4QdxVVln,4 Minutes (feat. Justin Timberlake and Timbaland),55,245080,0,"['Madonna', 'Justin Timberlake', 'Timbaland']","['6tbjWDEIzxoDsBA1FuhfPW', '31TPClRtHm23RisEBtV3X7', '5Y5TRrQiqgUO4S36tzjIRZ']",2008-04-19,0.705,0.911,2,-4.873,1,0.0717,0.00592,0.00154,0.0603,0.803,113.032,4,2008,3,2
02cPdommxoqVdx2QeAJRJm,Everybody - Original Version,30,362387,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1983-07-27,0.921,0.782,9,-4.998,0,0.039,0.0205,0.000894,0.0437,0.616,119.982,4,1983,3,-1
7F2b4lHBr8V7JzNbN1ipCe,Material Girl,39,240280,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.742,0.883,0,-3.419,1,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,4,2009,3,4
1lQ6ECmQng0DzeVi9DRPLP,4 Minutes (feat. Justin Timberlake & Timbaland),38,189693,0,"['Madonna', 'Justin Timberlake', 'Timbaland']","['6tbjWDEIzxoDsBA1FuhfPW', '31TPClRtHm23RisEBtV3X7', '5Y5TRrQiqgUO4S36tzjIRZ']",2009-09-18,0.753,0.931,2,-4.922,1,0.0652,0.00994,0.00696,0.234,0.767,113.029,4,2009,3,2
1PvLJI3WNUiMMIRLkcY9x3,Into the Groove,32,285093,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.729,0.856,10,-4.164,0,0.035,0.0658,0.00832,0.0691,0.804,116.467,4,2009,3,2
1ZORCOAGbFmB8X9p918CFP,Holiday,30,368280,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.854,0.796,11,-5.567,0,0.0399,0.0542,0.00184,0.151,0.946,115.625,4,2009,3,3
0SCvwi1W1KY2zsN7ZvS8AF,Borderline,25,238360,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.807,0.764,2,-5.186,1,0.0312,0.082,3.87e-05,0.115,0.371,119.867,4,2009,3,-1
5OWUKkLu9nesbbD0bLwcRL,Miles Away,48,288920,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2008-04-19,0.782,0.71,0,-4.394,1,0.0382,0.0447,0.0,0.095,0.762,115.995,4,2008,3,3
0NeZ8Bhhu3Vt5qCKLdvxpw,4 Minutes (feat. Justin Timberlake and Timbaland),49,245080,0,"['Madonna', 'Justin Timberlake', 'Timbaland']","['6tbjWDEIzxoDsBA1FuhfPW', '31TPClRtHm23RisEBtV3X7', '5Y5TRrQiqgUO4S36tzjIRZ']",2008-04-19,0.705,0.911,2,-4.873,1,0.0717,0.00592,0.00154,0.0603,0.803,113.032,4,2008,3,2
0QXtw4rDLQtpzqPS4uJbZJ,Give Me All Your Luvin',53,202760,0,"['Madonna', 'Nicki Minaj', 'M.I.A.']","['6tbjWDEIzxoDsBA1FuhfPW', '0hCNtLu0JehylgoiP8L4Gh', '0QJIPDAEDILuo8AIq3pMuU']",2012-01-01,0.68,0.885,11,-4.345,1,0.0382,0.00563,0.000756,0.379,0.877,144.998,4,2012,3,2
2BcOZ4vOeu2qZowIHrvTYy,Music,48,225973,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2000-09-19,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,4,2000,3,7
3TXakfjtRwGXdQ6P3Lpi6t,Buenos Aires,38,249133,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1996-10-25,0.772,0.805,5,-8.363,0,0.0848,0.116,0.000349,0.0759,0.657,122.95,4,1996,3,-1
6eB4UdPtmFYzT8JEhKj5tt,Don't Stop,36,278133,0,"['Madonna', 'Daniel Abraham']","['6tbjWDEIzxoDsBA1FuhfPW', '2MxRuu6aDaHC5wBVDN1LLV']",1994-10-25,0.733,0.789,4,-7.95,0,0.0584,0.00227,0.000622,0.0618,0.622,94.858,4,1994,3,7
